,title,url,org,candid_name,num_tweets,num_tweets_all,sentiment_mean,wc,negativ_ct,positiv_ct,negativ_percent,positiv_percent,emotionality,positivity
122,Cruz: Trump 'could be unstoppable' if he wins Iowa,http://www.cnn.com/2016/01/25/politics/ted-cruz-donald-trump-iowa/index.html,cnn,Kasich,1,158.0,0.658227860928,247,1,2,0.00404858299595,0.0080971659919,0.0121457489879,0.00404858299595
123,Rubio's Stepford malfunction: the GOP New Hampshire debate,http://www.huffingtonpost.com/alan-schroeder/rubios-stepford-malfuncti_b_9179672.html,huffpo,Kasich,1,13.0,0.769230782986,726,8,8,0.0110192837466,0.0110192837466,0.0220385674931,0.0
124,"Iowa poll: Trump, Sanders leading",http://www.cnn.com/2016/02/01/politics/iowa-caucus-poll-donald-trump-bernie-sanders/index.html,cnn,Kasich,2,23.0,0.0434782616794,267,1,2,0.00374531835206,0.00749063670412,0.0112359550562,0.00374531835206
125,Common Core attacks all the rage for GOP,http://www.cnn.com/2016/01/28/politics/common-core-donald-trump/index.html,cnn,Kasich,1,29.0,-0.172413796186,1046,11,12,0.0105162523901,0.0114722753346,0.0219885277247,0.000956022944551
126,Donald Trump on Ted Cruz: 'They're going to sue his ass up',http://www.cnn.com/2016/02/02/politics/donald-trump-ted-cruz-canadian-birth/index.html,cnn,Kasich,2,13.0,-0.923076927662,229,2,1,0.00873362445415,0.00436681222707,0.0131004366812,-0.00436681222707
127,"Trump, Clinton go to church in Iowa",http://www.cnn.com/2016/01/24/politics/donald-trump-hillary-clinton-church-visits-iowa/index.html,cnn,Kasich,1,43.0,0.0465116277337,439,2,9,0.00455580865604,0.0205011389522,0.0250569476082,0.0159453302961
128,Rubio: Trump's debate no-show may have helped me in Iowa,http://www.cnn.com/2016/02/02/politics/marco-rubio-new-hampshire-2016/index.html,cnn,Kasich,2,16.0,0.125,283,1,3,0.00353356890459,0.0106007067138,0.0141342756184,0.00706713780919
129,Conservative Arthur Brooks breaks with Trump on deporting undocumented immigrants,http://www.cnn.com/2016/04/28/politics/axe-files-axelrod-arthur-brooks/index.html,cnn,Kasich,1,23.0,0.0,58,1,0,0.0172413793103,0.0,0.0172413793103,-0.0172413793103
130,"For Democrats, it's the revolutionary vs. the pragmatist",http://www.cnn.com/2016/01/18/opinions/roundup-sanders-clinton-omalley-january-debate/index.html,cnn,Kasich,1,51.0,0.490196079016,2243,25,37,0.0111457868926,0.016495764601,0.0276415514935,0.00534997770843
131,Republican debate: 6 takeaways,http://www.cnn.com/2016/01/15/politics/republican-debate-2016-recap/index.html,cnn,Kasich,1,165.0,0.606060624123,1287,16,18,0.012432012432,0.013986013986,0.026418026418,0.001554001554
